Name,URL,Price
2008 BMW 5 SERIES 525I M-SPORTS,https://www.motortrader.com.my/usedcar/18121400028/2008-bmw-5-series-525i-m-sports/index.html,"VOC RM 54,800"
2012 HONDA ACCORD 2.0 VTI FACELIFT,https://www.motortrader.com.my/usedcar/19070900008/2012-honda-accord-2-0-vti-facelift/index.html,"VOC RM 53,800"
2011 MERCEDES-BENZ E-CLASS E200 1.8 CGI ELEGANCE CKD,https://www.motortrader.com.my/usedcar/18121800141/2011-mercedes-benz-e-class-e200-1-8-cgi-elegance-ckd/index.html,"VOC RM 87,800"
2017 BMW 3 SERIES 318i LUXURY FACELIFT,https://www.motortrader.com.my/usedcar/19062100124/2017-bmw-3-series-318i-luxury-facelift/index.html,"VOC RM 138,800"
2014 BMW 3 SERIES 316I 57K FS Actual Year Make,https://www.motortrader.com.my/usedcar/19061900122/2014-bmw-3-series-316i-57k-fs-actual-year-make/index.html,"VOC RM 96,800"
2009 BMW 3 SERIES 320I M-Sport Facelift Actual Year Make 2009,https://www.motortrader.com.my/usedcar/19061300124/2009-bmw-3-series-320i-m-sport-facelift-actual-year-make-2009/index.html,"VOC RM 45,800"
2014 BMW 3 SERIES 316I 57K FS Actual Year Make,https://www.motortrader.com.my/usedcar/19061900122/2014-bmw-3-series-316i-57k-fs-actual-year-make/index.html,"VOC RM 96,800"
2008 TOYOTA ESTIMA 2.4AERAS Registered 2013,https://www.motortrader.com.my/usedcar/19050100054/2008-toyota-estima-2-4aeras-registered-2013/index.html,"VOC RM 72,800"
"2010 MERCEDES-BENZ C-CLASS C200 CGI BLUE EFFICIENCY (A) REG 2010, CKD MODEL, ONE CAREFUL OWNER, LOW MILEAGE DONE 88K KM, FREE 1 YEAR GMR CAR WARRANTY, 17",https://www.motortrader.com.my/usedcar/19050200147/2010-mercedes-benz-c-class-c200-cgi-blue-efficiency-a-reg-2010-ckd-model-one-careful-owner-low-mileage-done-88k-km-free-1-year-gmr-car-warranty-17-sport-rims/index.html,"VOC RM 66,800"
"2009 BMW 5 SERIES 525I M-SPORTS 2.5cc (A) REG 2009, CAREFUL OWNER, LOW MILEAGE DONE 105K KM, FREE 1 YEAR GMR CAR WARRANTY, 18",https://www.motortrader.com.my/usedcar/19040900114/2009-bmw-5-series-525i-m-sports-2-5cc-a-reg-2009-careful-owner-low-mileage-done-105k-km-free-1-year-gmr-car-warranty-18-sport-rims/index.html,"VOC RM 58,800"
"2007 TOYOTA ALPHARD 3.0 V6 (A) MZG MODEL, REG 2010, CAREFUL OWNER, HIGH SPEC, HOME THEATER, SUNROOF, 100% ACCIDENT FREE, SELDOM USE, LOW MILEAGE DONE 103K KM, 16",https://www.motortrader.com.my/usedcar/19061900137/2007-toyota-alphard-3-0-v6-a-mzg-model-reg-2010-careful-owner-high-spec-home-theater-sunroof-100-accident-free-seldom-use-low-mileage-done-103k-km-16-sport-rims/index.html,"VOC RM 64,800"
"2015 MERCEDES-BENZ C-CLASS C200 CGI (A) REG 2015, ONE CAREFUL OWNER, FULL SERVICE RECORD, LOW MILEAGE DONE 24K KM, FREE 1 YEAR GMR CAR WARRANTY, 17",https://www.motortrader.com.my/usedcar/19061700175/2015-mercedes-benz-c-class-c200-cgi-a-reg-2015-one-careful-owner-full-service-record-low-mileage-done-24k-km-free-1-year-gmr-car-warranty-17-sport-rims/index.html,"VOC RM 165,800"
2009 TOYOTA VELLFIRE 3.5 VL (A) BEST DEAL,https://www.motortrader.com.my/usedcar/19051800130/2009-toyota-vellfire-3-5-vl-a-best-deal/index.html,"106,800"
